Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
Blake Treinen,2019,0.663,0.8525,-0.2427,-0.0608,0.2319,1.0191
Jason Grilli,2016,0.1673,0.4487,0.1717,0.0833,0.0877,0.464
Jason Grilli,2019,0.0984,0.5237,0.1938,0.0805,0.0577,0.5294
Arodys Vizcaino,2016,0.4795,0.6257,-0.6741,-0.2981,0.146,0.8527
Arodys Vizcaino,2017,0.7451,0.9176,-0.0545,-0.0241,0.3001,1.0842
Arodys Vizcaino,2019,0.7466,0.9178,0.006,-0.0349,0.3038,1.0417
Felipe Vazquez,2016,0.2434,0.6919,0.151,0.083,0.1181,0.576
Felipe Vazquez,2017,0.2525,0.6716,0.1462,0.0818,0.1281,0.599
Felipe Vazquez,2018,0.2921,0.6679,0.1643,0.0798,0.1334,0.6239
Felipe Vazquez,2019,0.3079,0.6678,0.16,0.0765,0.1367,0.629
Oliver Perez,2016,0.2831,0.707,-0.1594,-0.0812,0.0968,0.7414
Oliver Perez,2017,0.2715,0.6372,-0.1985,-0.1102,0.0957,0.6775
Oliver Perez,2018,0.4346,0.7258,-0.2426,-0.1171,0.134,0.7962
Oliver Perez,2019,0.4464,0.7293,-0.3023,-0.1304,0.1318,0.8267
Shawn Kelley,2016,0.5878,0.8376,0.0593,0.0453,0.2242,0.7811
Shawn Kelley,2017,0.5462,0.7837,0.0687,0.0443,0.2165,0.7274
Shawn Kelley,2018,0.4394,0.7145,0.0632,0.022,0.1772,0.6681
Shawn Kelley,2019,0.3838,0.7216,0.0162,0.0079,0.1668,0.6677
Max Scherzer,2016,0.3022,0.6351,0.0935,0.0282,0.2172,0.6096
Max Scherzer,2017,0.2423,0.6423,0.0895,0.0363,0.2255,0.5648
Max Scherzer,2018,0.2577,0.6721,0.1029,0.0393,0.2318,0.6071
Max Scherzer,2019,0.2479,0.679,0.0982,0.0347,0.2269,0.6154
Julio Teheran,2016,0.1782,0.7017,0.0767,0.0635,0.182,0.5145
Julio Teheran,2017,0.5271,0.8479,0.0952,0.0613,0.4429,0.6799
Julio Teheran,2018,0.5325,0.8446,0.1139,0.0536,0.4047,0.6985
Julio Teheran,2019,0.5252,0.849,0.1186,0.0475,0.4226,0.6905
Huston Street,2019,0.5468,0.7749,-0.2104,-0.0628,0.2845,1.1484
Pedro Strop,2016,0.1487,0.6779,-0.1196,-0.0305,0.0833,0.793
Pedro Strop,2017,0.1944,0.6862,-0.0131,-0.0005,0.1009,0.7246
Pedro Strop,2018,0.2373,0.7521,0.0652,0.0227,0.128,0.7599
Pedro Strop,2019,0.239,0.7323,0.0683,0.0265,0.125,0.7419
Joe Smith,2016,0.5147,0.7191,-0.4774,-0.1872,0.147,0.8444
Joe Smith,2017,0.5066,0.7855,-0.3077,-0.094,0.1736,0.9266
Joe Smith,2018,0.5291,0.804,-0.2446,-0.0993,0.183,0.8959
Joe Smith,2019,0.5274,0.7962,-0.2483,-0.0886,0.1801,0.9067
Travis Wood,2016,0.4901,0.4129,0.5386,0.298,0.1249,0.6819
Travis Wood,2019,0.5273,0.4556,0.489,0.1979,0.134,0.7406
Trevor Cahill,2016,0.505,0.647,-0.6089,-0.2198,0.1559,0.8273
Trevor Cahill,2017,0.4398,0.685,-0.6273,-0.176,0.1584,0.8663
Trevor Cahill,2018,0.5128,0.7267,-0.5556,-0.1268,0.1825,0.8954
Trevor Cahill,2019,0.5728,0.8013,-0.4588,-0.1134,0.218,0.8885
Jose Alvarez,2016,0.0804,0.6294,-0.0563,-0.0514,0.0675,0.5661
Jose Alvarez,2017,0.341,0.7055,0.0213,-0.0124,0.1325,0.7684
Jose Alvarez,2018,0.4078,0.6933,0.055,0.0028,0.1452,0.7584
Jose Alvarez,2019,0.3801,0.7,0.0743,0.0045,0.1406,0.7151
Jon Lester,2016,0.3571,0.7876,0.2207,0.0661,0.4079,0.6893
Jon Lester,2017,0.4076,0.8536,0.1724,0.0423,0.4571,0.7267
Jon Lester,2018,0.4283,0.8287,0.1897,0.0476,0.4106,0.7274
Jon Lester,2019,0.5056,0.8489,0.1622,0.0344,0.4495,0.7445
Mike Morin,2016,0.4339,0.5986,-0.0977,-0.0398,0.1246,0.5998
Mike Morin,2018,0.3962,0.6656,-0.1034,-0.037,0.1274,0.655
Mike Morin,2019,0.4409,0.6611,-0.0803,-0.0332,0.1263,0.658
Liam Hendriks,2016,0.4417,0.6343,0.3737,0.0795,0.1332,0.7327
Liam Hendriks,2017,0.3773,0.6061,0.3383,0.1219,0.1256,0.6515
Liam Hendriks,2018,0.4089,0.6307,0.308,0.0977,0.1384,0.6807
Liam Hendriks,2019,0.3779,0.6184,0.2979,0.1032,0.1317,0.6708
Matt Albers,2016,0.2691,0.7058,-0.742,-0.2575,0.1205,0.9587
Matt Albers,2017,0.7638,0.8975,-0.1558,-0.1178,0.2733,1.0454
Matt Albers,2018,0.7304,0.8529,-0.2028,-0.1131,0.2611,1.0107
Matt Albers,2019,0.4573,0.838,-0.4146,-0.1311,0.1918,1.0011
Chris Bassitt,2017,0.022,0.8876,-0.467,-0.1758,0.0919,0.7299
Chris Bassitt,2018,0.3929,0.9048,-0.0922,0.0224,0.5799,1.0613
Chris Bassitt,2019,0.2417,0.8536,-0.1429,-0.0359,0.3917,0.8578
Jose Quintana,2016,0.3198,0.7587,0.2222,0.0881,0.263,0.5479
Jose Quintana,2017,0.7995,0.9524,0.0448,-0.0543,0.6564,0.8627
Jose Quintana,2018,0.7354,0.9295,0.022,-0.0514,0.6267,0.8361
Jose Quintana,2019,0.7016,0.9204,-0.0046,-0.0537,0.6299,0.8347
Marc Rzepczynski,2016,0.3368,0.7834,0.0401,-0.4235,0.3389,0.8151
Marc Rzepczynski,2017,0.2274,0.7719,-0.4188,-0.4375,0.1983,0.7907
Marc Rzepczynski,2019,0.2577,0.7806,-0.3617,-0.4372,0.2157,0.7925
Jason Gurka,2019,0.7025,0.9432,-0.0625,0.1356,0.5601,0.5693
Daniel Hudson,2016,0.3614,0.6986,0.1419,0.0442,0.1331,0.7266
Daniel Hudson,2017,0.3152,0.6774,0.1353,0.061,0.1129,0.6497
Daniel Hudson,2018,0.2775,0.684,0.1246,0.0461,0.1094,0.6492
Daniel Hudson,2019,0.297,0.6789,0.1629,0.0598,0.1166,0.6604
Tyler Clippard,2016,0.1137,0.3726,-0.0717,-0.0698,0.0595,0.4536
Tyler Clippard,2017,0.232,0.5169,-0.1142,-0.0824,0.0926,0.5384
Tyler Clippard,2018,0.213,0.5511,-0.1134,-0.0781,0.0898,0.5257
Tyler Clippard,2019,0.1944,0.5472,-0.1147,-0.0789,0.0892,0.5336
Christian Bergman,2016,0.0774,0.8285,-0.0261,-0.0372,0.0898,0.6668
Christian Bergman,2019,0.9139,0.9788,0.0215,-0.0613,0.4178,1.0894
Shelby Miller,2017,0.1873,0.7768,0.4863,0.1208,0.2374,0.7916
Shelby Miller,2018,0.3397,0.8448,0.4114,0.1277,0.3004,0.7815
Shelby Miller,2019,0.548,0.7792,0.3497,-0.0112,0.3056,0.932
Chad Bettis,2016,0.4263,0.8189,0.0641,0.0482,0.4853,0.7593
Chad Bettis,2017,0.3658,0.7826,0.0838,0.0501,0.444,0.7676
Chad Bettis,2018,0.2398,0.5322,0.1435,0.0729,0.1385,0.6101
Chad Bettis,2019,0.2842,0.5994,0.1222,0.0611,0.1704,0.605
Shane Greene,2016,0.3091,0.7309,0.018,0.0388,0.1323,0.6983
Shane Greene,2017,0.4025,0.7689,0.1435,0.0817,0.1576,0.7574
Shane Greene,2018,0.4491,0.7599,0.1882,0.0875,0.1643,0.7426
Shane Greene,2019,0.4008,0.7323,0.2314,0.1002,0.1489,0.7411
Craig Breslow,2016,0.1281,0.3987,0.0324,-0.0301,0.081,0.6374
Craig Breslow,2019,0.2773,0.5246,0.1166,0.0431,0.1154,0.6145
AJ Ramos,2016,0.2175,0.7618,-0.0896,-0.0287,0.1263,0.619
AJ Ramos,2017,0.2767,0.7548,-0.1162,-0.0372,0.1389,0.6696
AJ Ramos,2019,0.3358,0.7753,-0.073,-0.0142,0.1556,0.7157
Drew VerHagen,2016,0.3732,0.6049,0.1352,0.0883,0.1174,0.4907
Drew VerHagen,2017,0.296,0.4742,0.1444,0.0812,0.1034,0.4768
Drew VerHagen,2018,0.2816,0.6005,0.0842,0.0393,0.1273,0.5504
Drew VerHagen,2019,0.2639,0.6071,0.0689,0.0295,0.1307,0.5576
Francisco Rodriguez,2016,0.4534,0.7498,-0.0447,0.0547,0.2185,0.9383
Francisco Rodriguez,2019,0.4582,0.707,-0.0188,0.0436,0.2065,0.8355
Bryan Morris,2016,0.2275,0.3099,-0.1729,-0.0785,0.0854,0.4517
Bryan Morris,2019,0.2206,0.6218,-0.0564,0.0159,0.1291,0.7117
David Phelps,2016,0.2953,0.6683,0.3977,0.1266,0.1425,0.7718
David Phelps,2018,0.3483,0.6796,0.3923,0.1355,0.1447,0.7863
David Phelps,2019,0.3335,0.6879,0.36,0.1266,0.1414,0.7732
Mark Lowe,2019,0.2645,0.5757,0.0712,0.0598,0.1307,0.6411
Justin Wilson,2016,0.4601,0.7246,0.6115,0.2181,0.1463,0.9393
Justin Wilson,2017,0.5019,0.641,0.538,0.2197,0.1564,0.8776
Justin Wilson,2018,0.5024,0.5941,0.5368,0.2351,0.1539,0.8218
Justin Wilson,2019,0.4511,0.6169,0.5502,0.2153,0.1483,0.8449
Dustin McGowan,2016,0.5301,0.5262,0.1811,0.1227,0.1477,0.5607
Dustin McGowan,2019,0.4911,0.5643,0.1415,0.0744,0.1656,0.638
Justin Verlander,2016,0.1994,0.7151,0.0992,0.0353,0.2484,0.624
Justin Verlander,2017,0.1555,0.6936,0.1137,0.0251,0.2121,0.6648
Justin Verlander,2018,0.3151,0.6899,0.1161,0.0222,0.3183,0.68
Justin Verlander,2019,0.7643,0.8675,0.0797,-0.028,0.4276,0.8963
Edwin Jackson,2016,0.6319,0.743,0.1216,0.0451,0.1998,0.7599
Edwin Jackson,2017,0.5607,0.673,0.1297,0.0547,0.2072,0.7012
Edwin Jackson,2018,0.4309,0.707,0.1611,0.0636,0.2136,0.6986
Edwin Jackson,2019,0.4074,0.7188,0.1741,0.0785,0.2164,0.6732
Wei-Yin Chen,2016,0.2476,0.7909,0.1353,-0.0052,0.2339,0.8033
Wei-Yin Chen,2017,0.1368,0.5983,0.1761,0.0485,0.1341,0.5663
Wei-Yin Chen,2018,0.1889,0.6144,0.1284,0.0304,0.1839,0.5685
Wei-Yin Chen,2019,0.1766,0.7257,0.0575,-0.0075,0.2255,0.6623
Fernando Rodney,2016,0.0256,0.6274,0.1227,0.0988,0.0364,0.6048
Fernando Rodney,2017,0.1016,0.6128,0.1181,0.0781,0.0782,0.6597
Fernando Rodney,2018,0.1738,0.6561,0.1661,0.091,0.0986,0.7302
Fernando Rodney,2019,0.1659,0.6286,0.1817,0.0919,0.0986,0.7261
Kenley Jansen,2016,0.5047,0.8124,0.3104,0.0688,0.2092,0.9288
Kenley Jansen,2017,0.3227,0.738,0.5275,0.1144,0.1306,0.8735
Kenley Jansen,2018,0.2997,0.6689,0.5784,0.1431,0.1213,0.8566
Kenley Jansen,2019,0.3502,0.6777,0.5617,0.1346,0.1269,0.8656
Chris Hatcher,2016,0.4048,0.665,0.2219,0.0847,0.1118,0.591
Chris Hatcher,2017,0.3229,0.7413,0.1141,0.0309,0.1218,0.6543
Chris Hatcher,2019,0.3805,0.7405,0.1729,0.0461,0.1548,0.715
Brandon Maurer,2016,0.1919,0.621,0.0809,0.0027,0.1256,0.5529
Brandon Maurer,2017,0.2632,0.6291,0.0803,0.0093,0.1323,0.6047
Brandon Maurer,2019,0.238,0.6395,0.0516,0.0005,0.1323,0.6198
Pedro Baez,2016,0.1273,0.5492,0.3614,0.1489,0.0631,0.5496
Pedro Baez,2017,0.2111,0.5667,0.3211,0.1208,0.0981,0.625
Pedro Baez,2018,0.2736,0.6158,0.2744,0.0958,0.1212,0.6524
Pedro Baez,2019,0.306,0.7015,0.1941,0.0482,0.1442,0.7146
Scott Kazmir,2019,0.5614,0.8008,-0.3786,-0.1382,0.4087,0.7988
James Shields,2016,0.2421,0.7142,0.1698,0.0873,0.2434,0.5581
James Shields,2017,0.242,0.7369,0.1824,0.0876,0.2314,0.5879
James Shields,2019,0.2332,0.687,0.1575,0.076,0.2355,0.5968
Santiago Casilla,2016,0.3726,0.6808,0.0696,0.0145,0.1289,0.6592
Santiago Casilla,2017,0.4162,0.6777,0.1014,0.0395,0.1492,0.659
Santiago Casilla,2019,0.5002,0.6834,0.0844,0.0252,0.1708,0.7158
Jeremy Jeffress,2016,0.4877,0.7449,-0.4959,-0.1621,0.152,0.9177
Jeremy Jeffress,2017,0.7476,0.9344,-0.1051,-0.037,0.2625,1.0374
Jeremy Jeffress,2018,0.6963,0.9087,-0.0695,-0.0142,0.2552,1.0179
Jeremy Jeffress,2019,0.6726,0.9053,-0.0265,-0.0081,0.2624,1.0158
Michael Blazek,2016,0.391,0.7257,-0.027,0.0061,0.1825,0.7289
Michael Blazek,2019,0.3644,0.7338,-0.0071,0.0119,0.177,0.7363
Sergio Romo,2016,0.4968,0.5086,-0.5362,-0.338,0.1284,0.6582
Sergio Romo,2017,0.4291,0.6895,-0.4039,-0.1159,0.1549,0.8965
Sergio Romo,2018,0.3894,0.6753,-0.4484,-0.1564,0.1374,0.8736
Sergio Romo,2019,0.2024,0.6933,-0.5744,-0.1541,0.0959,0.9039
Jimmy Nelson,2016,0.6573,0.9157,-0.1748,-0.1145,0.6997,0.8142
Jimmy Nelson,2018,0.6641,0.9283,-0.1896,-0.0636,0.6024,0.8774
Jimmy Nelson,2019,0.3841,0.9083,-0.2814,-0.0786,0.4776,0.8757
Johnny Cueto,2016,0.4387,0.8692,0.123,0.024,0.3478,0.8073
Johnny Cueto,2017,0.4496,0.8777,0.0893,0.0355,0.3902,0.7588
Johnny Cueto,2019,0.5018,0.8758,0.0653,0.0265,0.4327,0.7761
Andrew Faulkner,2019,0.2753,0.2933,0.1648,0.1213,0.0959,0.4756
Tony Zych,2016,0.2911,0.8578,0.1164,0.1075,0.2183,0.701
Tony Zych,2019,0.5406,0.7935,-0.1298,-0.0176,0.2193,0.9835
Tom Wilhelmsen,2016,0.4135,0.6044,0.0206,-0.0308,0.1196,0.6484
Tom Wilhelmsen,2019,0.4108,0.6602,0.0502,-0.0275,0.1299,0.67
Joel Peralta,2019,0.1366,0.7345,0.0313,0.0197,0.0947,0.7156
Tony Barnette,2016,0.4952,0.7354,0.0041,-0.0157,0.2098,0.8143
Tony Barnette,2017,0.3873,0.7437,0.1148,0.014,0.1726,0.7906
Tony Barnette,2019,0.3738,0.7497,0.0949,0.0115,0.1738,0.7869
Nick Vincent,2016,0.2956,0.7181,0.0019,0.0034,0.1964,0.8143
Nick Vincent,2017,0.753,0.926,0.1243,0.0356,0.2783,1.0573
Nick Vincent,2018,0.7546,0.9232,0.1702,0.0463,0.2708,1.0683
Nick Vincent,2019,0.7176,0.9187,0.2115,0.0473,0.2646,1.0666
Martin Perez,2016,0.5378,0.8471,0.1076,0.0626,0.4457,0.6549
Martin Perez,2017,0.4881,0.7926,0.0998,0.0498,0.4053,0.6371
Martin Perez,2018,0.3197,0.765,0.1552,0.0511,0.2219,0.6299
Martin Perez,2019,0.333,0.7887,0.1898,0.0698,0.2604,0.6477
Hisashi Iwakuma,2016,0.6233,0.8142,-0.2175,-0.1749,0.4516,0.6563
Hisashi Iwakuma,2019,0.7484,0.8725,-0.1144,-0.0959,0.6116,0.8124
Alex Colome,2016,0.5712,0.6424,0.621,0.0853,0.2135,1.0575
Alex Colome,2017,0.5362,0.7301,0.5481,0.1428,0.2062,0.9935
Alex Colome,2018,0.5029,0.714,0.5554,0.1818,0.198,0.9797
Alex Colome,2019,0.3745,0.7209,0.7767,0.1821,0.1282,0.9838
Franklin Morales,2019,0.5491,0.613,-0.2735,-0.1317,0.296,0.591
Aaron Sanchez,2016,0.5303,0.7421,0.2993,0.1187,0.4087,0.6779
Aaron Sanchez,2017,0.621,0.7076,0.3588,0.0866,0.2618,0.7577
Aaron Sanchez,2018,0.555,0.7812,0.2577,0.0661,0.3297,0.7828
Aaron Sanchez,2019,0.5765,0.7962,0.1831,0.0367,0.384,0.8013
Dana Eveland,2019,0.4565,0.3204,-0.6606,-0.7579,0.1839,0.4521
Jake Odorizzi,2016,0.796,0.8312,0.0686,0.0092,0.6893,0.8003
Jake Odorizzi,2017,0.6372,0.827,0.1001,0.0172,0.5405,0.7676
Jake Odorizzi,2018,0.6309,0.8247,0.0973,-0.0048,0.516,0.8031
Jake Odorizzi,2019,0.5551,0.8892,0.1678,0.0051,0.3792,0.8027
Cody Allen,2016,0.3059,0.6835,0.1395,0.0417,0.1286,0.6797
Cody Allen,2017,0.3166,0.7494,0.0957,0.0368,0.1447,0.6266
Cody Allen,2018,0.3399,0.7164,0.0921,0.0249,0.1456,0.6417
Cody Allen,2019,0.3332,0.6979,0.0882,0.022,0.1488,0.6254
Bryan Shaw,2016,0.2356,0.6623,0.449,0.1778,0.0909,0.7526
Bryan Shaw,2017,0.207,0.6207,0.5194,0.2086,0.0891,0.738
Bryan Shaw,2018,0.2249,0.6322,0.5114,0.2111,0.0979,0.7468
Bryan Shaw,2019,0.2531,0.6067,0.4631,0.1951,0.1069,0.7338
Zach McAllister,2016,0.2834,0.6356,0.4652,0.1058,0.1192,0.8207
Zach McAllister,2017,0.3085,0.5797,0.4434,0.1563,0.1166,0.698
Zach McAllister,2019,0.2873,0.5809,0.4178,0.1504,0.1112,0.6853
Carlos Carrasco,2016,0.4329,0.6095,0.0088,0.0434,0.3229,0.532
Carlos Carrasco,2017,0.3462,0.6705,-0.0045,0.0201,0.3128,0.6556
Carlos Carrasco,2018,0.3276,0.7098,-0.0255,0.0064,0.2927,0.652
Carlos Carrasco,2019,0.2331,0.6411,-0.0344,-0.0062,0.2389,0.6102
Cory Rasmus,2019,0.383,0.765,-0.0764,-0.0103,0.1982,0.6247
Justin Grimm,2016,0.41,0.5757,-0.0228,0.0104,0.1444,0.6552
Justin Grimm,2017,0.3278,0.6057,0.0202,0.0211,0.1373,0.6382
Justin Grimm,2019,0.2919,0.583,0.0218,0.0221,0.1228,0.613
Jake Arrieta,2016,0.6236,0.9285,-0.2886,-0.0687,0.4251,0.9447
Jake Arrieta,2017,0.8109,0.9599,-0.4506,-0.006,0.3422,1.0742
Jake Arrieta,2018,0.7614,0.9478,-0.5737,-0.0108,0.3103,1.0782
Jake Arrieta,2019,0.6548,0.9243,-0.7196,-0.016,0.2748,1.0759
Cam Bedrosian,2016,0.1011,0.6505,0.2181,0.1147,0.0767,0.5992
Cam Bedrosian,2017,0.2427,0.655,0.1465,0.073,0.123,0.6021
Cam Bedrosian,2018,0.3315,0.6627,0.0962,0.0563,0.1398,0.6441
Cam Bedrosian,2019,0.2983,0.6539,0.0556,0.0507,0.1351,0.5975
Fernando Salas,2016,0.1914,0.598,0.1578,0.0437,0.0793,0.6191
Fernando Salas,2017,0.2561,0.6619,0.1727,0.0471,0.0988,0.6596
Fernando Salas,2019,0.2442,0.6456,0.1663,0.0415,0.0929,0.656
Garrett Richards,2016,0.829,0.5759,0.0429,0.0125,0.5661,0.7554
Garrett Richards,2017,0.4597,0.7787,0.0733,0.0197,0.4263,0.7514
Garrett Richards,2019,0.5668,0.8003,0.0283,0.0324,0.4568,0.6481
Sonny Gray,2016,0.6514,0.8042,0.1112,0.0208,0.4736,0.7931
Sonny Gray,2017,0.5251,0.8957,0.0811,0.0124,0.5726,0.832
Sonny Gray,2018,0.4657,0.8832,0.0876,0.0147,0.4966,0.7967
Sonny Gray,2019,0.7862,0.9294,0.0606,-0.0171,0.494,0.931
Carlos Rodon,2016,0.1546,0.6556,0.1798,0.093,0.2279,0.511
Carlos Rodon,2017,0.2575,0.7168,0.1621,0.0844,0.2576,0.501
Carlos Rodon,2018,0.1595,0.6904,0.1507,0.0667,0.2348,0.5188
Carlos Rodon,2019,0.2255,0.7293,0.128,0.0559,0.2825,0.5428
Brad Ziegler,2016,0.199,0.749,-0.477,-0.2735,0.206,0.9488
Brad Ziegler,2017,0.3551,0.7559,-0.4905,-0.227,0.1958,0.9965
Brad Ziegler,2019,0.3112,0.7267,-0.4591,-0.3262,0.2019,0.8898
Jake McGee,2016,0.6801,0.8405,0.1149,0.0137,0.2439,0.9247
Jake McGee,2017,0.6914,0.8756,0.2336,0.0322,0.241,0.9999
Jake McGee,2018,0.6291,0.8186,0.2735,0.0419,0.2178,0.976
Jake McGee,2019,0.5732,0.7892,0.3079,0.0519,0.2006,0.9467
Patrick Corbin,2016,0.1057,0.5169,0.2066,0.0956,0.1375,0.4994
Patrick Corbin,2017,0.2264,0.7443,0.1059,0.0357,0.2871,0.6586
Patrick Corbin,2018,0.2966,0.7975,0.0593,0.0244,0.3592,0.6724
Patrick Corbin,2019,0.3004,0.7812,0.0587,0.0259,0.3495,0.6544
Tyler Chatwood,2016,0.5039,0.7645,0.8147,0.0559,0.2066,0.9559
Tyler Chatwood,2017,0.5274,0.7665,0.61,0.1297,0.2333,0.8663
Tyler Chatwood,2018,0.5254,0.7584,0.5997,0.1601,0.2333,0.8313
Tyler Chatwood,2019,0.5207,0.7577,0.5452,0.1173,0.2336,0.8719
Chris Narveson,2019,0.3055,0.0658,0.1973,0.251,0.0642,0.2393
Jose Fernandez,2019,0.4579,0.8071,0.0405,0.0303,0.3794,0.5508
Anibal Sanchez,2016,0.1034,0.711,-0.1196,-0.0597,0.0976,0.7541
Anibal Sanchez,2017,0.3815,0.8491,-0.145,-0.0485,0.2072,0.9013
Anibal Sanchez,2018,0.4414,0.8774,-0.0764,-0.0335,0.2454,0.9282
Anibal Sanchez,2019,0.4575,0.8861,-0.0379,-0.0272,0.265,0.9244
Ivan Nova,2016,0.5381,0.7509,0.2057,0.057,0.2464,0.6216
Ivan Nova,2017,0.5027,0.7564,0.2132,0.0801,0.2716,0.6193
Ivan Nova,2018,0.4626,0.7471,0.2083,0.0806,0.2833,0.6259
Ivan Nova,2019,0.3683,0.7615,0.2223,0.0765,0.264,0.6441
Pat Neshek,2016,0.4184,0.8212,-0.2031,-0.2911,0.2668,0.8695
Pat Neshek,2017,0.315,0.8104,-0.2918,-0.2738,0.2441,0.8791
Pat Neshek,2018,0.2523,0.7866,-0.5218,-0.281,0.1762,0.8726
Pat Neshek,2019,0.2316,0.7756,-0.6655,-0.288,0.1351,0.8694
Josh Fields,2016,0.3889,0.4645,0.147,0.0789,0.1502,0.4679
Josh Fields,2017,0.2888,0.5993,0.2936,0.1026,0.1192,0.5875
Josh Fields,2019,0.3328,0.5867,0.2806,0.1028,0.1284,0.5914
Tony Sipp,2016,0.2975,0.6665,-0.0236,-0.0552,0.1003,0.8155
Tony Sipp,2017,0.3075,0.591,-0.0174,-0.0323,0.1145,0.737
Tony Sipp,2018,0.3263,0.6289,0.0008,-0.023,0.1336,0.7689
Tony Sipp,2019,0.3167,0.6256,0.0028,-0.0191,0.1287,0.7403
Michael Pineda,2016,0.1288,0.531,0.0174,0.0165,0.1595,0.5902
Michael Pineda,2018,0.1724,0.5201,0.003,0.0003,0.1909,0.5835
Michael Pineda,2019,0.849,0.8822,0.0228,-0.02,0.4199,0.95
Michael Feliz,2016,0.4969,0.6211,0.2137,0.0215,0.1554,0.7379
Michael Feliz,2017,0.3752,0.6771,0.2466,0.0589,0.1437,0.7077
Michael Feliz,2018,0.4127,0.6054,0.2638,0.0921,0.149,0.6305
Michael Feliz,2019,0.3359,0.6066,0.2885,0.1091,0.1388,0.608
Collin McHugh,2016,0.5073,0.7908,0.1635,0.0566,0.3578,0.66
Collin McHugh,2017,0.4893,0.7102,0.1558,0.0499,0.369,0.6059
Collin McHugh,2018,0.4618,0.732,0.1282,0.0287,0.2474,0.6759
Collin McHugh,2019,0.4755,0.7372,0.0868,0.0217,0.2872,0.6615
Joe Blanton,2016,0.4777,0.7903,-0.3305,-0.1266,0.1694,0.9307
Joe Blanton,2019,0.5034,0.8263,-0.2276,-0.1113,0.1877,0.9187
Carlos Villanueva,2019,0.2,0.5087,-0.0886,-0.0437,0.1078,0.5332
J.P. Howell,2016,0.4252,0.8268,-0.0538,-0.3473,0.3272,0.8939
J.P. Howell,2019,0.333,0.6696,-0.2775,-0.5078,0.2579,0.7201
Kenta Maeda,2016,0.3933,0.6868,-0.051,-0.0178,0.3833,0.7232
Kenta Maeda,2017,0.5043,0.8232,-0.016,-0.0104,0.4002,0.7604
Kenta Maeda,2018,0.4001,0.7845,-0.0584,-0.0229,0.2137,0.718
Kenta Maeda,2019,0.4326,0.8034,-0.0875,-0.0392,0.2232,0.7914
Andrew Cashner,2016,0.8152,0.8877,0.1965,-0.0406,0.3591,0.982
Andrew Cashner,2017,0.706,0.8734,0.1824,-0.012,0.3666,0.8565
Andrew Cashner,2018,0.6339,0.8426,0.1564,-0.0011,0.3561,0.8201
Andrew Cashner,2019,0.413,0.8424,0.0951,0.0051,0.2809,0.7682
Kyle Gibson,2016,0.3715,0.7444,0.0643,0.0561,0.3539,0.7979
Kyle Gibson,2017,0.5063,0.7892,0.0599,0.058,0.4589,0.7254
Kyle Gibson,2018,0.5076,0.7647,0.0587,0.0541,0.4298,0.6866
Kyle Gibson,2019,0.5012,0.7195,0.0508,0.0388,0.3924,0.6872
Yovani Gallardo,2016,0.6082,0.897,-0.0516,-0.0401,0.2969,0.9122
Yovani Gallardo,2017,0.5573,0.8294,-0.0109,-0.0334,0.3042,0.8104
Yovani Gallardo,2019,0.5488,0.8245,0.0106,-0.0283,0.3064,0.7794
Jeurys Familia,2016,0.423,0.6421,-0.4615,-0.1416,0.1539,0.8506
Jeurys Familia,2017,0.4233,0.6838,-0.4127,-0.127,0.1588,0.8739
Jeurys Familia,2018,0.4901,0.7417,-0.4028,-0.0985,0.1782,0.9263
Jeurys Familia,2019,0.4536,0.7373,-0.4092,-0.1133,0.1721,0.9048
Addison Reed,2016,0.3441,0.6681,0.2924,0.0864,0.1405,0.6401
Addison Reed,2017,0.3849,0.6782,0.2312,0.037,0.1466,0.7223
Addison Reed,2019,0.4238,0.6868,0.2273,0.0305,0.1582,0.7323
Jim Henderson,2019,0.4025,0.5114,0.4088,0.1876,0.1473,0.6525
Danny Duffy,2016,0.5051,0.7477,0.1858,0.0504,0.1606,0.7095
Danny Duffy,2017,0.5096,0.8239,0.0904,0.0057,0.1985,0.7742
Danny Duffy,2018,0.5015,0.8201,0.0853,-0.0008,0.2019,0.7668
Danny Duffy,2019,0.4952,0.8257,0.0757,0.0002,0.2106,0.7516
Noah Syndergaard,2016,0.5644,0.9339,-0.1269,-0.0504,0.5548,0.8877
Noah Syndergaard,2017,0.69,0.9123,-0.1077,-0.0455,0.7009,0.8784
Noah Syndergaard,2018,0.7389,0.9271,-0.1239,-0.05,0.6687,0.9265
Noah Syndergaard,2019,0.6305,0.9188,-0.174,-0.0463,0.5896,0.9262
Chris Young,2016,0.1083,0.7975,-0.0133,0.0189,0.1566,0.7282
Chris Young,2019,0.2249,0.8397,-0.052,0.0125,0.2251,0.6885
Blake Wood,2016,0.1793,0.6781,-0.0377,-0.0137,0.1093,0.8198
Blake Wood,2017,0.6896,0.9058,-0.0777,-0.0023,0.2675,1.1114
Blake Wood,2019,0.7059,0.905,-0.0877,-0.0034,0.2696,1.114
Dalier Hinojosa,2019,0.3363,0.648,-0.0347,-0.124,0.0844,0.8839
Caleb Cotham,2019,0.4942,0.4962,0.0741,0.0417,0.2069,0.5067
Aaron Nola,2016,0.5915,0.8976,-0.6169,-0.0192,0.2593,0.954
Aaron Nola,2017,0.7575,0.9709,-0.1182,0.0115,0.4463,0.9739
