Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
Boone Logan,2019,0.3002,0.6399,-0.0609,-0.0095,0.1158,0.6462
Randall Delgado,2016,0.4167,0.5888,0.0706,0.0185,0.1627,0.8204
Randall Delgado,2017,0.4082,0.5916,0.0691,0.0219,0.1628,0.7385
Randall Delgado,2019,0.3906,0.5782,0.0663,0.0264,0.1577,0.7227
Justin Miller,2017,0.3318,0.4935,0.2415,0.1113,0.1578,0.5511
Justin Miller,2018,0.3424,0.6088,0.25,0.1236,0.1499,0.6202
Justin Miller,2019,0.3182,0.6276,0.273,0.1178,0.1464,0.6601
Jake Barrett,2016,0.3078,0.7056,0.147,0.0363,0.1173,0.691
Jake Barrett,2017,0.3316,0.6239,0.1714,0.0677,0.1188,0.6735
Jake Barrett,2019,0.3313,0.6023,0.1683,0.0732,0.1194,0.6328
Jorge De La Rosa,2016,0.0002,0.7178,0.0954,0.0657,-0.0059,0.6062
Jorge De La Rosa,2017,0.2252,0.4802,0.1169,0.0594,0.1087,0.6181
Jorge De La Rosa,2019,0.2855,0.5133,0.0905,0.0647,0.117,0.6172
Zack Greinke,2016,0.1814,0.5016,0.02,0.015,0.2128,0.4171
Zack Greinke,2017,0.1296,0.5627,-0.0124,-0.0006,0.1421,0.4943
Zack Greinke,2018,0.1833,0.5668,-0.0122,-0.0044,0.1674,0.5353
Zack Greinke,2019,0.2501,0.6138,-0.0227,-0.0144,0.2173,0.6036
Luke Gregerson,2016,0.545,0.6406,-0.4394,-0.1689,0.1668,0.8634
Luke Gregerson,2017,0.7165,0.8527,-0.1093,-0.0372,0.2643,0.9815
Luke Gregerson,2018,0.717,0.8529,-0.0967,-0.0256,0.2595,0.9873
Luke Gregerson,2019,0.7087,0.8622,-0.0764,-0.0269,0.2656,0.9824
Johnny Barbato,2016,0.1111,0.7245,-0.0542,-0.0631,0.1412,0.6484
Johnny Barbato,2017,0.4351,0.8091,0.0059,-0.0222,0.1671,0.7705
Johnny Barbato,2019,0.4564,0.8086,0.0124,-0.0181,0.1694,0.7802
Dellin Betances,2016,0.3507,0.6926,-0.0665,-0.0487,0.14,0.6388
Dellin Betances,2017,0.2506,0.6938,-0.0557,-0.0352,0.1143,0.6494
Dellin Betances,2019,0.2629,0.6994,-0.0363,-0.0267,0.124,0.6614
Ken Giles,2016,0.197,0.7466,0.0309,0.0523,0.1339,0.7059
Ken Giles,2017,0.2325,0.7503,0.0369,0.0425,0.1514,0.7311
Ken Giles,2018,0.2765,0.7342,0.0586,0.0515,0.1355,0.7003
Ken Giles,2019,0.2723,0.7306,0.0454,0.0378,0.14,0.6908
Chasen Shreve,2016,0.1349,0.6719,0.0116,-0.0346,0.0828,0.5375
Chasen Shreve,2017,0.3537,0.689,0.0088,-0.0319,0.1406,0.6417
Chasen Shreve,2019,0.3596,0.6374,0.0191,-0.034,0.1382,0.6461
Dallas Keuchel,2016,0.5968,0.8255,0.0786,0.0706,0.618,0.7742
Dallas Keuchel,2017,0.4138,0.8166,0.1349,0.0792,0.4755,0.7577
Dallas Keuchel,2018,0.4324,0.8194,0.145,0.0728,0.4653,0.7257
Dallas Keuchel,2019,0.3416,0.8236,0.1906,0.0818,0.3944,0.7162
Masahiro Tanaka,2016,0.7438,0.9146,-0.4683,-0.0763,0.2908,0.8804
Masahiro Tanaka,2017,0.6793,0.8742,-0.4193,-0.0709,0.3229,0.841
Masahiro Tanaka,2018,0.6789,0.8868,-0.3558,-0.0582,0.35,0.8477
Masahiro Tanaka,2019,0.6822,0.89,-0.3471,-0.0647,0.3487,0.8325
Yimi Garcia,2017,0.3846,0.7107,0.2636,0.0027,0.17,1.065
Yimi Garcia,2018,0.3284,0.7013,0.1205,0.038,0.1594,0.8333
Yimi Garcia,2019,0.4194,0.734,0.002,-0.0165,0.1581,0.7697
Kevin Quackenbush,2016,0.1095,0.4887,0.1861,0.0727,0.0547,0.4644
Kevin Quackenbush,2017,0.1177,0.5337,0.1618,0.0421,0.0716,0.5432
Kevin Quackenbush,2019,0.1551,0.598,0.1698,0.0461,0.0829,0.5617
Louis Coleman,2017,0.4405,0.7047,-0.0918,-0.0794,0.1651,0.7384
Louis Coleman,2019,0.4755,0.7068,-0.0233,-0.0326,0.1687,0.7455
Colin Rea,2019,0.0004,0.5456,0.5211,0.2215,-0.0071,0.5322
Luis Perdomo,2016,0.0293,0.799,0.1935,0.0581,0.0674,0.7256
Luis Perdomo,2017,0.0564,0.7634,0.193,0.0513,0.099,0.6984
Luis Perdomo,2018,0.0592,0.7561,0.1857,0.0516,0.1049,0.6969
